Input List,Area AVG,RG AVG,RDF Peak
"[(1, 'E1'), (2, 'S7'), (3, 'E9'), (4, 'E9'), (5, 'E7'), (6, 'S5'), (7, 'E8'), (8, 'S7'), (9, 'E2'), (10, 'S6'), (11, 'S9'), (12, 'S0'), (13, 'S8'), (14, 'S1'), (15, 'E6'), (16, 'S8'), (17, 'E9'), (18, 'S2')]",17206.28203,19.07152797,1.849543319
"[(1, 'E1'), (2, 'S8'), (3, 'S6'), (4, 'S7'), (5, 'S0'), (6, 'S6'), (7, 'E7'), (8, 'E9'), (9, 'S8'), (10, 'S1'), (11, 'S3'), (12, 'S5'), (13, 'S7'), (14, 'E7'), (15, 'E7'), (16, 'S4'), (17, 'E3')]",15239.31543,19.17806869,1.782047489
"[(1, 'E1'), (2, 'S9'), (3, 'E8'), (4, 'E7'), (5, 'E8'), (6, 'S8'), (7, 'S0'), (8, 'E7'), (9, 'S8'), (10, 'S9')]",11363.30644,17.94920585,1.930826361
"[(1, 'E1'), (2, 'S9'), (3, 'S3'), (4, 'E0'), (5, 'S9'), (6, 'S9'), (7, 'S9'), (8, 'S4'), (9, 'S9'), (10, 'S8'), (11, 'E4'), (12, 'E9'), (13, 'S6'), (14, 'E4'), (15, 'S6'), (16, 'S4'), (17, 'E3'), (18, 'S3'), (19, 'S8'), (20, 'S3')]",20531.61875,21.45997639,1.742557239
"[(1, 'E1'), (2, 'S9'), (3, 'S3'), (4, 'S0'), (5, 'E3'), (6, 'E2'), (7, 'S8'), (8, 'E7'), (9, 'S4'), (10, 'E3'), (11, 'E0'), (12, 'S8'), (13, 'S2'), (14, 'E1'), (15, 'S7'), (16, 'S1'), (17, 'E5'), (18, 'E4')]",13399.2173,18.36806054,1.725367962
"[(1, 'E1'), (2, 'S9'), (3, 'S9'), (4, 'S6'), (5, 'S8'), (6, 'S9'), (7, 'E6'), (8, 'E7'), (9, 'S3'), (10, 'E8'), (11, 'E3'), (12, 'E3'), (13, 'E9'), (14, 'S4')]",13726.07,18.92,1.91
"[(1, 'E10'), (2, 'E0'), (3, 'E0'), (4, 'E0'), (5, 'E0'), (6, 'E0'), (7, 'E10'), (8, 'E0'), (9, 'E0'), (10, 'E0'), (11, 'S0'), (12, 'S0'), (13, 'S30'), (14, 'S10'), (15, 'S0'), (16, 'S0'), (17, 'S10'), (18, 'S0'), (19, 'S0'), (20, 'S0')]",11624.91697,21.35762257,2.147612258
"[(1, 'E2'), (2, 'E0'), (3, 'E4'), (4, 'S5'), (5, 'E4'), (6, 'S9'), (7, 'S3'), (8, 'E1'), (9, 'E0'), (10, 'E9'), (11, 'S1'), (12, 'S2'), (13, 'E7'), (14, 'S5'), (15, 'E3'), (16, 'E6'), (17, 'E8'), (18, 'S4'), (19, 'S8'), (20, 'S7')]",15994.95,19.34,1.84
"[(1, 'E2'), (2, 'E1'), (3, 'S7'), (4, 'E6'), (5, 'S3'), (6, 'S0'), (7, 'E7'), (8, 'E2'), (9, 'S3'), (10, 'S2'), (11, 'E1'), (12, 'S4'), (13, 'E8'), (14, 'E1'), (15, 'S6'), (16, 'S7')]",11947.20329,18.1295042,1.735303157
"[(1, 'E2'), (2, 'E3'), (3, 'S7'), (4, 'E4'), (5, 'S5'), (6, 'S8'), (7, 'S4'), (8, 'S6'), (9, 'E3'), (10, 'S3'), (11, 'E7'), (12, 'S5'), (13, 'S0'), (14, 'S1'), (15, 'E5'), (16, 'S5'), (17, 'S5'), (18, 'E8'), (19, 'S0'), (20, 'E4')]",17801.64073,17.31084668,1.742723071
"[(1, 'E2'), (2, 'E6'), (3, 'E2'), (4, 'S4'), (5, 'E1'), (6, 'S4'), (7, 'S8'), (8, 'E3'), (9, 'E1'), (10, 'S7'), (11, 'E8'), (12, 'S0'), (13, 'S4'), (14, 'S1'), (15, 'S3')]",11798.51,16.45,1.77
"[(1, 'E2'), (2, 'E7'), (3, 'S5'), (4, 'E3'), (5, 'E3'), (6, 'S9'), (7, 'E4'), (8, 'S0'), (9, 'S7'), (10, 'E1'), (11, 'S3'), (12, 'E8'), (13, 'E6'), (14, 'S4'), (15, 'S7'), (16, 'S2'), (17, 'S1')]",14046.43965,17.44890415,1.784568734
"[(1, 'E2'), (2, 'E8'), (3, 'S5'), (4, 'E9'), (5, 'E1'), (6, 'S2'), (7, 'S3'), (8, 'S8'), (9, 'S0'), (10, 'S4'), (11, 'S1'), (12, 'S9'), (13, 'E5'), (14, 'S0'), (15, 'E0'), (16, 'E7'), (17, 'S9')]",13508.45201,18.56220026,1.943485959
"[(1, 'E2'), (2, 'E9'), (3, 'E0'), (4, 'E3'), (5, 'S4'), (6, 'E8'), (7, 'S8'), (8, 'S8'), (9, 'S7'), (10, 'S2'), (11, 'E2')]",10003.45806,16.54247963,1.892588325
"[(1, 'E2'), (2, 'E9'), (3, 'E6'), (4, 'S9'), (5, 'S2'), (6, 'S7'), (7, 'S3'), (8, 'E6'), (9, 'S7'), (10, 'S5'), (11, 'S1'), (12, 'E6')]",12388.70918,17.09217945,1.949813523
"[(1, 'E2'), (2, 'E9'), (3, 'S9'), (4, 'E4'), (5, 'S2'), (6, 'E9'), (7, 'S0'), (8, 'S3'), (9, 'E3'), (10, 'E3'), (11, 'S9'), (12, 'E0'), (13, 'S4'), (14, 'E9'), (15, 'S4'), (16, 'E4')]",13160.39332,17.95366142,1.906200483
"[(1, 'E2'), (2, 'S1'), (3, 'S2'), (4, 'S4'), (5, 'E1'), (6, 'E1'), (7, 'E8'), (8, 'S1'), (9, 'E5'), (10, 'S3'), (11, 'S7'), (12, 'S9'), (13, 'E4')]",10532.8,16.35,1.81
"[(1, 'E2'), (2, 'S3'), (3, 'S9'), (4, 'S9'), (5, 'S4'), (6, 'E4'), (7, 'S7'), (8, 'E9'), (9, 'S3'), (10, 'S2'), (11, 'S2'), (12, 'E0'), (13, 'S1'), (14, 'S1'), (15, 'E8')]",12141.98,17.91,1.79
"[(1, 'E2'), (2, 'S4'), (3, 'S5'), (4, 'S8'), (5, 'S8'), (6, 'S3'), (7, 'S9'), (8, 'S1'), (9, 'E2'), (10, 'E6'), (11, 'E3'), (12, 'E2'), (13, 'S6'), (14, 'S9'), (15, 'E9'), (16, 'E2'), (17, 'S4'), (18, 'E6'), (19, 'S0'), (20, 'E3')]",15587.2576,19.36433086,1.779194761
"[(1, 'E2'), (2, 'S5'), (3, 'S3'), (4, 'E0'), (5, 'E0'), (6, 'E4'), (7, 'E1'), (8, 'E1'), (9, 'E9'), (10, 'E4'), (11, 'S5'), (12, 'S8'), (13, 'E5'), (14, 'S2'), (15, 'E2'), (16, 'E0'), (17, 'S0')]",9876.611946,16.09578269,1.747549204
"[(1, 'E2'), (2, 'S5'), (3, 'S9'), (4, 'E7'), (5, 'E4'), (6, 'S0'), (7, 'S8'), (8, 'S6'), (9, 'E0'), (10, 'E8'), (11, 'E9'), (12, 'E1'), (13, 'E4'), (14, 'S6'), (15, 'E8'), (16, 'S7'), (17, 'E4'), (18, 'S4'), (19, 'E9')]",17133.02405,18.88168805,1.897850299
"[(1, 'E2'), (2, 'S7'), (3, 'E0'), (4, 'E5'), (5, 'S2'), (6, 'S4'), (7, 'E0'), (8, 'E2'), (9, 'S1'), (10, 'E0'), (11, 'S2'), (12, 'S5'), (13, 'E1')]",7348.51,16.68,1.41
"[(1, 'E2'), (2, 'S7'), (3, 'E0'), (4, 'E7'), (5, 'E6'), (6, 'S0'), (7, 'E8'), (8, 'S9'), (9, 'E7'), (10, 'S3'), (11, 'E5'), (12, 'S9'), (13, 'E5'), (14, 'S6'), (15, 'E0'), (16, 'E3'), (17, 'E3')]",13818.49325,17.61043877,1.840118339
"[(1, 'E2'), (2, 'S9'), (3, 'S3'), (4, 'S7'), (5, 'S6'), (6, 'S6'), (7, 'E3'), (8, 'S8'), (9, 'S2'), (10, 'S6'), (11, 'E7'), (12, 'S0'), (13, 'S5'), (14, 'E1'), (15, 'S3'), (16, 'S7')]",14611.96643,19.48281075,1.198464119
"[(1, 'E2'), (2, 'S9'), (3, 'S6'), (4, 'S1'), (5, 'E7'), (6, 'E3'), (7, 'S0'), (8, 'E9'), (9, 'E0'), (10, 'E0'), (11, 'E9'), (12, 'E2'), (13, 'S6'), (14, 'S1'), (15, 'E6'), (16, 'S2'), (17, 'E2'), (18, 'S9'), (19, 'E4'), (20, 'E0')]",13493.11341,17.84058334,1.783487177
"[(1, 'E2'), (2, 'S9'), (3, 'S6'), (4, 'S6'), (5, 'S9'), (6, 'S1'), (7, 'S9'), (8, 'E9'), (9, 'E9'), (10, 'S8'), (11, 'E8'), (12, 'S6'), (13, 'S8'), (14, 'S3'), (15, 'S8')]",19170.17,19.57,1.85
